date,open,high,low,close,volume
1640995200000,1.308,1.38,1.306,1.38,69007607.5
1641081600000,1.379,1.391,1.342,1.377,81011860.4
1641168000000,1.378,1.378,1.31,1.319,87155825.9
1641254400000,1.319,1.352,1.295,1.309,94479305.9
1641340800000,1.31,1.353,1.193,1.23,158740088.2
1641427200000,1.23,1.297,1.186,1.28,175754407.6
1641513600000,1.279,1.285,1.189,1.21,209806013.2
1641600000000,1.209,1.254,1.124,1.181,169730473.68
1641686400000,1.182,1.206,1.147,1.17,114093699.4
1641772800000,1.17,1.181,1.069,1.123,189250644.14
1641859200000,1.123,1.196,1.122,1.187,115267098.7
1641945600000,1.188,1.314,1.186,1.312,145608592.7
1642032000000,1.312,1.354,1.227,1.233,179029543.6
1642118400000,1.232,1.309,1.22,1.292,143281596.5
1642204800000,1.293,1.319,1.251,1.291,80421836.4
1642291200000,1.292,1.422,1.286,1.41,247977037.4
1642377600000,1.411,1.607,1.386,1.603,545675409.1
1642464000000,1.602,1.638,1.411,1.458,455949108.3
1642550400000,1.458,1.534,1.326,1.337,329948716.4
1642636800000,1.336,1.427,1.251,1.259,261063307.3
1642723200000,1.259,1.282,1.101,1.12,408519522.4
1642809600000,1.12,1.155,0.917,1.071,554287709.12
1642896000000,1.071,1.17,1.051,1.124,257147931.5
1642982400000,1.124,1.125,0.951,1.065,437410320
1643068800000,1.066,1.074,0.991,1.043,218828333.3
1643155200000,1.043,1.157,1.022,1.077,336503954.9
1643241600000,1.078,1.08,1.004,1.042,184762461.8
1643328000000,1.042,1.059,1.008,1.048,137690073.1
1643414400000,1.049,1.084,1.037,1.059,89531278.4
1643500800000,1.059,1.077,1.024,1.035,72352160.1
1643587200000,1.035,1.06,1.006,1.051,101218950.1
1643673600000,1.052,1.096,1.034,1.096,124526330.3
1643760000000,1.096,1.103,1.022,1.027,126857788.7
1643846400000,1.027,1.062,1.016,1.061,98542208.5
1643932800000,1.061,1.139,1.045,1.138,135205051.6
1644019200000,1.138,1.178,1.097,1.125,152710784.3
1644105600000,1.125,1.15,1.097,1.143,107099317
1644192000000,1.142,1.209,1.125,1.199,267801841.6
1644278400000,1.198,1.263,1.133,1.176,271657090.8
1644364800000,1.176,1.215,1.152,1.195,137109784.2
1644451200000,1.194,1.225,1.143,1.15,183604520.1
1644537600000,1.15,1.164,1.068,1.079,131818725.2
1644624000000,1.079,1.092,1.029,1.059,149173437.2
1644710400000,1.058,1.076,1.032,1.042,99247994
1644796800000,1.043,1.055,1.018,1.049,138982742.3
1644883200000,1.05,1.115,1.049,1.107,153934616.3
1644969600000,1.108,1.112,1.066,1.082,100925929.7
1645056000000,1.083,1.094,1.008,1.02,114535761.9
1645142400000,1.019,1.043,0.983,0.995,133614248.4
1645228800000,0.996,1.019,0.973,0.996,92102940.7
1645315200000,0.997,0.998,0.919,0.931,156774619.1
1645401600000,0.931,0.993,0.851,0.856,283488504.31
1645488000000,0.856,0.897,0.813,0.888,264842040.57
1645574400000,0.888,0.96,0.863,0.866,237719675.9
1645660800000,0.866,0.899,0.746,0.853,560130978.58
1645747200000,0.852,0.91,0.823,0.898,210840757.4
1645833600000,0.898,0.93,0.881,0.887,142052119.7
1645920000000,0.886,0.915,0.832,0.856,162004634.9
1646006400000,0.857,0.97,0.842,0.962,227929558.7
1646092800000,0.962,1.011,0.939,0.963,234764266.6
1646179200000,0.964,0.977,0.927,0.939,149491898.8
1646265600000,0.938,0.946,0.883,0.903,114772747.9
1646352000000,0.902,0.903,0.826,0.844,147015719.3
1646438400000,0.844,0.883,0.818,0.864,78739554.5
1646524800000,0.865,0.872,0.819,0.823,76546559.4
1646611200000,0.822,0.847,0.777,0.793,132873670.6
1646697600000,0.793,0.821,0.787,0.802,124187499.5
1646784000000,0.802,0.863,0.799,0.849,114971836.5
1646870400000,0.849,0.854,0.785,0.807,115081098.3
1646956800000,0.806,0.819,0.782,0.788,101514757.7
1647043200000,0.788,0.802,0.786,0.789,50466434.4
1647129600000,0.789,0.821,0.78,0.786,88733691.2
1647216000000,0.787,0.816,0.776,0.802,104141955.4
1647302400000,0.803,0.817,0.781,0.8,95462205.5
1647388800000,0.8,0.84,0.792,0.838,160796978.5
1647475200000,0.839,0.858,0.827,0.835,106462948.2
1647561600000,0.835,0.86,0.82,0.851,82865732.3
1647648000000,0.851,0.916,0.85,0.903,114266368.8
1647734400000,0.902,0.916,0.864,0.879,93008770.9
1647820800000,0.879,0.93,0.863,0.917,115815047.2
1647907200000,0.917,0.988,0.907,0.975,172058469.4
1647993600000,0.975,1.11,0.957,1.108,362447245.1
1648080000000,1.108,1.19,1.076,1.131,390982460
1648166400000,1.13,1.167,1.072,1.096,290456883.7
1648252800000,1.096,1.16,1.079,1.152,143117986.1
1648339200000,1.152,1.186,1.104,1.184,135043361.8
1648425600000,1.184,1.246,1.157,1.17,261105698.6
1648512000000,1.17,1.243,1.166,1.191,180298618
1648598400000,1.191,1.218,1.161,1.189,146032640.3
1648684800000,1.189,1.228,1.133,1.141,177164788.1
1648771200000,1.141,1.175,1.104,1.165,191221298.9
1648857600000,1.165,1.195,1.145,1.155,107106263.9
1648944000000,1.156,1.2,1.142,1.186,78660058.3
1649030400000,1.186,1.245,1.16,1.212,253235570.3
1649116800000,1.212,1.219,1.163,1.171,108831679.5
1649203200000,1.17,1.173,1.047,1.052,206766772.7
1649289600000,1.052,1.101,1.038,1.089,99287570.5
1649376000000,1.089,1.1,1.019,1.024,88048109.3
1649462400000,1.025,1.047,1.021,1.045,49693999.1
1649548800000,1.044,1.07,1.023,1.027,51995282.7
1649635200000,1.026,1.033,0.917,0.92,159034131.6
1649721600000,0.919,0.982,0.915,0.955,115179052.5
1649808000000,0.954,0.981,0.934,0.974,83269578.6
1649894400000,0.974,0.985,0.923,0.933,84093379.2
1649980800000,0.933,0.959,0.929,0.956,42541809.7
1650067200000,0.955,0.962,0.937,0.951,36809858.4
1650153600000,0.95,0.963,0.912,0.914,42819442
1650240000000,0.914,0.939,0.874,0.937,118870539.6
1650326400000,0.936,0.957,0.927,0.952,75432689.7
1650412800000,0.952,0.976,0.93,0.937,93644303.6
1650499200000,0.937,0.971,0.891,0.91,105007978.4
1650585600000,0.91,0.924,0.891,0.906,82391016.7
1650672000000,0.906,0.913,0.881,0.886,34559067.5
1650758400000,0.886,0.899,0.877,0.886,49191017
1650844800000,0.885,0.9039,0.8261,0.8974,171944524.5
1650931200000,0.8975,0.903,0.815,0.8259,176710067
1651017600000,0.8258,0.8562,0.8187,0.8401,148780516.9
1651104000000,0.8401,0.8526,0.8258,0.8432,134885232.9
1651190400000,0.8432,0.8495,0.7891,0.8048,139320128.3
1651276800000,0.805,0.8179,0.7351,0.7556,147364161.34
1651363200000,0.7555,0.8002,0.7451,0.7895,137793227.3
1651449600000,0.7894,0.7968,0.7636,0.7809,128907016.8
1651536000000,0.7808,0.7994,0.7605,0.7711,96429722.5
1651622400000,0.7712,0.8992,0.7677,0.8985,256649760
1651708800000,0.8986,0.9058,0.7716,0.7884,364970629.3
1651795200000,0.7884,0.7997,0.7625,0.7832,244058670.2
1651881600000,0.7832,0.7858,0.7467,0.7604,126808896
1651968000000,0.7605,0.7663,0.7254,0.7403,175139530.39
1652054400000,0.7404,0.7542,0.5976,0.6019,472342566.94
1652140800000,0.6025,0.701,0.5833,0.6286,436850308.6
